,Cleaned Tweet
0,kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter 
1,aku itu aku ku tau matamu sipit tapi diliat dari mana itu aku 
2,kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah 
3,ya bani taplak dkk 
4,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon
5,gue baru aja kelar re watch aldnoah zero! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! xd url
6,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw ? doket mano tu ? gerai rojak meuaku taipan 2 depan twins baby amp romantika bank islam senawang ?
7,enak lg klo smbil ngewe 
8,setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu 
9,banci kaleng malu ga bisa jawab peanyaan kami dari 2 hari lalu nyungsep koe url
10,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi 
11,aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata
12,bu guru enakan jadi jablay atau guru esde sih kayaknya menikmati jadi pecun ini guru 
13,lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar 
14,belakangan ini kok fikiran ampas banget ya 
15,ari sarua beki mah repeh monyet 
16,jadi cowo itu harus gantle kalo ga gantle itu namanya banci ! 
17,slga mnr bom 
18,asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin 
19,kalo kamu noob pasti peluang disakitin nya lebih gede si 
20,joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
21,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai
22,bandara udara internasional keajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan
23,siapapun gubernur dan presidennya rakyatnya ya kita juga 
24,ini si kerjaannya delay mulu! setan! 
25,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
26,pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong 
27,itu mah sdh nenek nenek sy heran sama cebong biasay bohong terus 
28,islam nusantara produk jil dipasarkan dg gencar oleh antek jil sementara jil anti arab tapi pro aseng! kata alm kh hasyim muzadi 
29,dari habis sahur sampe jam sibayik udah nete 4x skg rasanya lemas tak terkira 
30,gak kak emak mah gak demen ama yang sipit wkwk 
31,kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url
32,ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang?
33,pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari 
34,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat! sanji hbd17thpelautjkt48 
35,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri 
36,presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw
37,edan emang goollnya fabiano! 
38,gapernah mendalami al quran ya bang? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw 
39,sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia massya allah 
40,anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt
41,gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita ? tutur djarot di hadapan pesea rakercabsu ? 
42,apa iya islam itu ga boleh dilokalisasi? lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda jawa ada hkbp juga kurang nusantara apa? 
43,ciptakan situasi kamtibmas menjelang pilkada 2018 kapolsek konang silaturahmi ke tokoh masyarakat
44,positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor url
45,kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan shalat menyembah all
46,kau pendikan tinggi tapi bodoh gk ada larang bawa agama biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla
47,btp the best abaikan kaum kampret otak micin 
48,si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe 
49,awaasss jgn sampe beritanya sampe ke akhi gerung! ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini! klu tahu b ini plng sambil ky nhn ngeden dungu! 
50,pinokio umur 3 taonan tuh 2019gantipresiden
51,cerita silat lae semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china 
52,benci sekali dgn umat islam
53,provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita
54,dari pada gua nete 
55,lol bani lowo 
56,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus2 th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof mari kita demo diri sendi
57,a orang yang suka ke konser konser sedikit boros 
58,sampai kapan makan racun ? banyak ulama yang mengatakan hukum rokok mubah dan ada juga ? 
59,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa ! baguss khofifahemilnomer1
60,udah biasa kali gue kpoper tapi kalo ngomonv sama temen2 gue idol gua banci homo 
61,saya suka video url awal kisah perseteruan haji bolot amp malih tongtong 
62,budaya kafir bersungguh klau hal2 islam tidak diendahkan 
63,la la la hm hmm semua diam semua bisu kita coba tanya sama rumput yg bergoyang 
64,apabila setan membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a raf 200 dan fushilat 36 
65,klw ente atheis ngapain sibuk dgn agama orang 
66,lengserkan jokowi bangsat!
67,selamat hari kaini 2019gantipresiden 2019presidenbaru
68,bajingan homo! hati2 terhadap anak2 kita terutama di kamar mandi laki2 jgn biarkan sendiri! url
69,iya cocot 
70,karena budaya indonesia 
71,yang ngajarin solat a ajah itu orang aseng dia hanya ingin memecah belah islam 
72,x lo ngomong aja kaga bener bangke 
73,kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja
74,tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo 
75,kalo seumpama orang cina di usir paksa dari indonesia gimana
76,bunda ngentot yuk 
77,china babi china maling usirchina https t co 9y4hiwhjp2
78,bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya kalau kami keliru kami tutup akun 
79,proyek korupsi rezim sby url
80,wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara 
81,ab pribadi yg senang berkompetisi dalam hal yang baik dan positif
82,terus menurut lo kitab suci agama apa yg di bilang om mendadakkalap
83,suka nutup mata kaga ditutup pun udah terlihat teutup gara2 sipit ? 
84,sy sbg muslim tdk merasa pak menistakan kitab suci alqur an krn dlm alqur an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm
85,eh kasar kau kampang 
86,bentar lagi gua rilis album the onta s wkwkwkwkwk 
87,ada cebong bang dia merasa paling benar 
88,najis banget gw ngetwit apa barusan wey 
89,kamu transgender atau gmn anjing url
90,awas bintitan lu ngintipin titit kucing 
91,bawel baper bolot baik bodor gaje wkwk apa ya udah itu aja deh 
92,gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh 
93,jgn salah target bkn ahok agenda utama lengserkan jokowi 
94,masa baru kena hestek aja udah kepanasan ? kepo banget 2019gantipresiden
95,maju lu sini duit tapi kau goyang kaki tak buat pape mana la duit nak maju kat kau bodo url
96,hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik terjadilah perpecahan dan berdirilah hkbp yg pama kali di tarutung nah skrg anda sy k
97,ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak ?
98,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
99,dan yang takut dengan adzan adalah iblis 
100,yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal 
101,wuih cebong sewot 
102,gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
103,padahal gubernur saat ini djarot mayoritas paai politik di dprd juga pendukung ahok djarot payah ya mereka url
104,rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya 
105,saat orang orang saling menuding antek aseng aseng sesungguhnya beepuk tangan 
106,nah loh katanya anti aseng 
107,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional 
108,asyikm3nang saya sih ikut ulama saja
109,yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu dan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
110,anak pecun ga jauh2 dr hobi zina haha 
111,que bom sbbsnsn 
112,istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003
113,pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya 
114,tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin 
115,ian pantat 
116,ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain? jgnkan orang bodoh org yg maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat iblis itu juga pintar dan sangat licik! 
117,pendaftaran capres untuk pilpres2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus pdip masih belum paham? 2019gantipresiden !
118,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url
119,dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh?! dan w ngerasa jadi anak yg brengsek aja gt ke laki2 
120,cina perusak bangsa! usir ! stuju?
121,2019gantipresiden scra konstitusional hak setiap rakyat woiii! gini nih kalo planga plongo tapi kelakuan otoriter 
122,mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai coki adem86 98heru ? 
123,mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantara knp tdk ada kristen nusantara budha hindu bahkan kong huchu nusantara? 
124,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
125,cowo yang jago drasex mana? sini ngentot sama adek luvian 
126,kroasia itu kapir tauuu ngapain blajar sm kapir udh lupa sm kapling sorga? 
127,loh bukan nya mentri suhao ada yg homo? 
128,gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik buruk 
129,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
130,kejar setorang memang cukup bangsad mana rupiah turun 
131,moga ini ada tindak lanjutnya! pelaporan terhadap ?penista agama? ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakaa pusat pada selasa 10 4 pukul 13 00 wib perhaps 
132,bangke hajar! 
133,onta mati klo kebanyakan minum 
134,url ahok tng mrka trus was was hdpnya 
135,itu baru di sul teng ! ini ekses akibat tersandera hutang china ! 2019gantipresiden 2019presidenbaru 2019tetapjokowiganti
136,pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri 
137,aku beanya tujuan pada hati logikaku yg menjawab tapi hati tak tenang aku beanya pada logika hatiku sedih ku cari jawaban dalam wasiat yg beliau tinggalkan dan aku mulai menjadi terasing dan asing di mata manusia tak apa duhai diri ada
138,tak hanya kurang beaji nya kpk era ini tapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby 
139,admin tolol di paai tolol paai tolol untuk orang tolol 
140,ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak url
141,video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di 
142,ppp jangan buru buru tolak wacana pilkada lewat dprd
143,random pagi2 ada bapak2 nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pake air wudhu tapi ku kristen 
144,ko gua kampret 
145,memek lonte pengen disodok kontol gede 
146,jokowi aja yg mundur tutup url
147,ngomong opo itu mulut kok sepei banci beli kaca dulu lihat dirimu broo 
148,ada amin rasis ada amat dani ada ratna si paiiit ada si onta ada si lobang anus jdi jngan takut wo wo kehabisan obat penenang yh 
149,tunggu komando imam bejat cabul taik beer ape2 bawa ulama dasar banj sempak 
150,kabinet berantakan pemecah belah persatuan hanya ad di rezim ini 
151,dih! ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja k k orang bego! ckakakakak 
