,Cleaned Text
0,di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke elo. basic kamu cowok bego !
1,siapa yang telat memberi tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa itu licew juga 
2,"kadang aku berfikir, kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali. kadang aku merasa tuhan itu meninggalkan aku sendirian. ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi kristen. ketika aku anak ter"
3,aku itu aku ku tau matamu sipit tapi dilihat dari mana itu aku 
4,kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi haha 
5,ya bani taplak dan kawan kawan 
6,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
7,gue baru saja selesai re watch aldnoah zero! paling kampret memang endingnya! 2 karakter utama cowoknya kena friendzone bray! xd uniform resource locator
8,"nah admin belanja satu lagi po terbaik nak makan ais kepal milo, ais kepal horlicks atau cendol toping kau kaw. ? doket mana itu ? gerai rozak meuaku taipan 2 depan kembar baby amp romantika bank islam senawang ?"
9,enak lagi kalau sambil ngewe 
10,"setidaknya gue punya jari tengah buat lu, sebelum gue ukur nyali sama bacot kamu "
11,"banci kaleng malu tidak bisa jawab peanyaan kami dari 2 hari lalu, nyungsep koe uniform resource locator"
12,"kalau belajar ekonomi mestinya jago memprivatisasi hati orang. duh, ironi "
13,"aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi, nyata"
14,bu guru enakan jadi jablay atau guru sekolah dasar sih. kayaknya menikmati jadi pecun ini guru. 
15,"lawan bicara gue tidak intelek kayak loe, yang otak tidak punya. tentang kencing onta, gue mengakui hadis nabi dan itu sahih. kafir kayak kamu pasti menolak, makanya kamu ahlunnar. "
16,belakangan ini kok pikiran ampas banget ya 
17,ari sama beki adalah rapi monyet 
18,jadi cowok itu harus gantle kalau tidak gantle itu namanya banci ! 
19,alga mnr bom 
20,"anjing ya tapi gue jarang ngambek, takut wkwk gue kan bucin. "
21,kalau kamu noob pasti peluang disakiti nya lebih gede sih 
22,"joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia. hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak"
23,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai
24,bandara udara internasional keajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat. insya allah siap beroperasi bulan depan
25,"siapapun gubernur dan presidennya, rakyatnya, ya kita juga,"
26,ini sih kerjaannya delay mulu! setan! 
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget
28,partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong.
29,itu adalah sudah nenek nenek saya heran sama cebong biasanya bohong terus 
30,"islam nusantara produk jil, dipasarkan dengan gencar oleh antek jil. sementara jil anti arab, tapi pro aseng! kata almarhum kh. hasyim muzadi,"
31,dari habis sahur sampai jam si bayi sudah nete 4x. sekarang rasanya lemas tak terkira 
32,tidak kak emak adalah tidak suka sama yang sipit wkwk 
33,"kelakuan homo jaman now, ngentot saja sambil live di blued gay video gvid lokal hangat uniform resource locator"
34,"tidak kak, gue bukan orang jawa maaf ya gue orang palembang soalnya, kakak saja deh yang belajar aksara jawa. atau kelak mau belajar budaya palembang?"
35,pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari 
36,para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat! sanji selamat ulang tahun pelaut jkt48 
37,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri 
38,presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi
39,edan memang tujuannya fabiano! 
40,tidak pernah mendalami al alquran ya bang? pantas saja mulutnya kayak orang kafir bejat hina farhat abbas law 
41,"sangat terlihat beda sekali kewibawaannya , yang sangat berwibawa cuma gubernur indonesia masya allah,"
42,anjir baru kali ini lihat orang bego mau debat pilkada. kerjanya menyerang karakter. kecewa on kamu empok silvy and agus. debat final pemilihan kepala daerah jakarta
43,"gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita, ? tutur djarot di hadapan pesea rakercabsu ? "
44,"apa iya islam itu tidak boleh dilokalisasi? lah kristen saja mas ada nusantaranya mas, lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa, ada huria kristen batak protestan juga kurang nusantara apa? "
45,"ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018, kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat"
46,positif kok. se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor uniform resource locator
47,"kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu. istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal , sama dengan salat menyembah all"
48,"kamu pendidikan tinggi tapi bodoh,gk ada larang bawa agama,biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila"
49,"ahok the best ,abaikan kaum kampret otak micin , "
50,", sih otak tempurung adalah tidak usah di ladenin. semakin di lawan semakin belum dan dungu. dan kalau tidak begitu dia tidak makan. hehe "
51,"awaasss, jangan sampai beritanya sampai ke saudara gerung! nanti susah mencari kosakatany. kalau bocor saja memicing mata, bibir monyong kesamping, suara keluar ky lagi nhn kentut, politik kotor sekali zaman ini! . kalau tahu b ini, pulang sambil ky nhn ngeden, dungu! . "
52,pinokio umur 3 tahunan tuh. 2019 ganti presiden
53,"cerita silat lae semacam kho merah muda oh yang dari indonesia, tapi liang ie shen penulis dari cina "
54,benci sekali dengan umat islam
55,"provokasi mayat, politisasi agama penyebab kekalahan pilihan kepala daerah dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya. for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas"
56,dari pada gue nete 
57,wkwk bani lowo 
58,"takabur bisa lahir dari siapa saja. penguasa, rakyat, ulama maupun cendikia. bahkan iblis makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takabburnya. apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi"
59,"a orang yang suka ke konser konser, sedikit boros."
60,sampai kapan makan racun ? banyak ulama yang mengatakan hukum rokok mubah dan ada juga ? 
61,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat . no 1 bisa ! bagus khofifah emil nomor satu
62,"sudah biasa kali. gue penggemar korea pop tapi kalau mengomong sama teman teman gue, idol gue banci homo "
63,saya suka video uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong 
64,"budaya kafir bersungguh, kalau hal hal islam tidak diendahkan,"
65,"lah lah la,hm hem semua diam ,semua bisu kita coba tanya sama rumput yang bergoyang "
66,"apabila setan membisikkan was was kepadamu, mintalah perlindungan kepada allah. qs. al a raf 200 dan fussilat 36 . "
67,"kalau kamu atheis,ngapain sibuk dengan agama orang,"
68,lengserkan jokowi bangsat!
69,selamat hari kaini 2019 ganti presiden 2019 presiden baru
70,bajingan homo! hati hati terhadap anak anak kita terutama di kamar mandi laki2jgn biarkan sendiri! uniform resource locator 
71,iya cocot 
72,karena budaya indonesia.
73,yang mengajarkan salat a saja itu orang asing dia hanya ingin memecah belah islam 
74,x kamu berbicara saja tidak benar bangkai 
75,kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja
76,"tapi masih menikmati kebijakan yang dulu diusulkan pki, lah iya opo,"
77,kalau seumpama orang cina di usir paksa dari indonesia bagaimana
78,bunda ngentot yuk 
79,"cina babi, cina maling, usir cina hypertext transfer protocol over secure socket layer t.co 9y4hiwhjp2"
80,"bung karno anti asing dan beliau dari jawa, coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo ohannya. kalau kami keliru kami tutup akun "
81,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator
82,"wajar saja, lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara "
83,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif
84,terus menurut kamu kitab suci agama apa yang di bilang om mendadak kalap
85,suka menutup mata. tidak ditutup pun sudah terlihat teutup gara gara sipit ? 
86,"saya sebagai muslim tidak merasa pak menistakan kitab suci alquran an, karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam, tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum"
87,eh kasar kamu kampang 
88,bentar lagi gue rilis album the onta si wkwk 
89,ada cebong bang dia merasa paling benar 
90,najis banget gue mentwit apa barusan he 
91,kamu transgender atau bagaimana anjing uniform resource locator
92,awas bintitan kamu mengintip titit kucing 
93,"bawel, baper, bolot, baik, bodor , enggak jelas wkwk apa ya sudah itu saja deh "
94,"gue menyarankan tidak perlu banyak bacot maling ayat, langsung to the point saja kamu jadi orang, yang tidak sepaham kamu teriaki saja kafir sesat, liberal, pemuja dukun, bla blaaa, pasti hatimu puas deh , "
95,"jangan salah target bukan ahok, agenda utama lengserkan jokowi ,"
96,masa baru kena tagar saja sudah kepanasan ? ingin tahu banget 2019 ganti presiden
97,"maju kamu sini duit tapi kamu goyang kaki tak buat pape , mana lah duit nak maju kat kamu bodoh uniform resource locator"
98,"huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda,dl tidak ada yang namanya kristen protestan yang ada cuma kristen khatolik. terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pama kali di tarutung. nah sekarang anda saya k"
99,"apa , apa , banyak baca biar pintar , jepang, amerika, china, utang sama siapa , anda tau tidak ,?"
100,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu
101,dan yang takut dengan azan adalah iblis 
102,yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus. propaganda nasi bungkus memang selalu gagal. 
103,"wuih, cebong sewot, "
104,gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
105,padahal gubernur saat ini djarot. mayoritas paai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot. payah ya mereka uniform resource locator
106,"rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu aja, komisi pemberantasan korupsi alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya "
107,"saat orang orang saling menuding antek aseng, asing sesungguhnya beepuk tangan. "
108,nah lah katanya anti asing 
109,"selamat pak semoga bisa terus berkiprah, bahkan tingkat nasional."
110,asyik menang saya sih ikut ulama saja
111,yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan. termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu. dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak
112,"anak pecun, tidak jauh jauh dari hobi zina, haha "
113,aku bom surat berharga syariah negara 
114,"istirahat saja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003"
115,"pada 1979, house select committee on assassination hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission. hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya. "
116,"tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres, acara tahunan negara indonesia untuk memilih presiden. semoga senantiasa berjalan aman dan lancar. amin."
117,ian pantat 
118,"mengakuinya orang pintar dan beragama, memangnya agama mana yang memperbolehkan menista dan menghujat orang lain?. jangankan orang bodoh, orang yang maaf sejak lahir idiot sekalipun dia, kita harus hargai sebagai sesama ciptaan tuhan. ingat iblis itu juga pintar dan sangat licik! "
119,"pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018,yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham? 2019 ganti presiden !"
120,sih tolol sudah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya cebong uniform resource locator
121,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lohh?! dan gue merasa jadi anak yang berengsek saja begitu ke laki laki 
122,cina perusak bangsa! usir ! stuju?
123,2019 ganti presiden secara konstitusional hak setiap rakyat woiii! . begini nih kalau plonga plongo tapi kelakuan otoriter.
124,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai. . . coki adem86 98heru ? 
125,"mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara,knp tidak ada kristen nusantara,budha,hindu bahkan kong hucu nusantara? "
126,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
127,cowok yang jago drasex mana? sini ngentot sama adik luvian 
128,"kroasia itu kafir tauuu,ngapain belajar sama kapir,udh lupa sama kapling sorga? "
129,lah bukan nya menteri suhao ada yang homo? 
130,gue tau lah bukan yang dulu yang masih culun dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk 
131,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
132,"kejar setoran memang cukup bangsad, mana rupiah turun "
133,"semoga ini ada tindak lanjutnya! pelaporan terhadap ?penista agama? adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh. shobri lubis ke badan reserse kriminal markas besar polri, gambir, jakaa pusat pada selasa 10 4 pukul 13.00 wib. perhaps "
134,"bangke, hajar! "
135,. onta mati kalau kebanyakan minum 
136,uniform resource locator ahok tng mereka terus was was hidupnya 
137,"itu baru di sul teng, ! ini ekses akibat tersandera hutang cina ! 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti"
138,"pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity. harga diri yang tinggi dapat mengubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri "
139,"aku beanya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku beanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan. dan aku mulai menjadi terasing dan asing di mata manusia. tak apa duhai diri, ada"
140,"tak hanya kurang beaji nya komisi pemberantasan korupsi era ini,tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak sby,"
141,admin tolol di paai tolol paai tolol untuk orang tolol 
142,"ayu ting ting goyang hot dekat raffi ahmad, nagita slavina kampungan, norak uniform resource locator"
143,video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di 
144,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah
145,"random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih, istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen. "
146,kok gue kampret 
147,memek lonte ingin disodok kontol gede 
148,jokowi saja yang mundur. tutup. uniform resource locator
149,"berbicara apa itu.mulut kok sepei banci,beli kaca dulu lihat dirimu,. bro "
150,"ada amin rasis. ada amat dani ada ratna sih paiiit. ada sih onta. ada sih lobang anus. jadi jangan takut oi wo, kehabisan obat penenang yh. "
151,"tunggu komando imam bejat cabul . tai bir apa apa bawa ulama, dasar banj sempak "
152,kabinet berantakan pemecah belah persatuan hanya ada di rezim ini 
153,"dih! mengakui lebih pintar dari orang politik, mengaca dulu oi tampang kamu saja k k orang bego! wkwk "
154,"partai demokrasi indonesia perjuangan menang dengan menekan perusahaan tambang dengan target proyek yang impossible, lalu dilelang murah pada antek cina. ntb contoh kasus. partai demokrasi indonesia perjuangan mau menang? dasar bajingan "
155,tidak percaya sama mulut buaya mu bawang 
156,"2019, jika susilo bambang yudhoyono prabowo menyatu melawan mega jokowi , maka peristiwa 2004 akan terulang dimana partai demokrasi indonesia perjuangan yang incumbent dikalahkan mutlak oleh sby. tetapi jika jokowi mega susilo bambang yudhoyono melawan prabowo, mk pemilihan presiden selesai sudah. jika 3 poros di pilpres, mk salah satu lawan"
157,jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presiden 2019 melawan jokowi
158,"bebal,"
159,"yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia, yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka. obviously "
160,umuh begitu persib persib kunyuk! 
161,"buat film muslim pilih ahok mati enggak di sholatin, dijamin laris ,"
162,tapi banu banu yahudi itu tentu beda dengan banu banu kristen syriac. salah satu perbedaan ada banu yahudi tetap pakai eloah elohim yahwe sedangkan suriah sudah pakai alah allah 
163,eh kenapa muka merah merah tu? tak dapat cendol ke? bukan lah setan cuaca sekarang nih panas. 
164,pemberitaan saracen diframing katak seakan tim prabowo dan anies sandi. sebenarnya itu media menumpahkan sakit hati katak dan cebong. ehe
165,"giat bhayangkara pembina keamanan dan ketertiban masyarakat brigadir polisi manajemen berbasis sekolah sihombing pada hari ini, rabu 11 april 2018 melaksanakan sambang desa dan tatap muka sekaligus memantau keamanan dan ketertiban masyarakat menuju pilihan kepala daerah 2018 di desa lobusiregar i, tepatnya di rumah rudi panjaitan, helman siahaan dan hotman siahaan"
166,"sayang banget ya melihat perempuan kayak gini, tidak ada status apa apa tetapi sudah menempel sama laki laki sana sini. haduh, nagita slavina blak blak sebut ayu ting ting kampungan viva uniform resource locator"
167,"jangan lupa juga kang, umat katolik dan minoritas lainnya diperhatika. gubernur untuk semua golongan bukan satu golongan. "
168,kan saya bukan cebong sudah dibilangi dari kemarin masih mengeyel situ memaksa saya jadi cebong? 
169,"kelemahan gerindra itu ada di orang ini,,prabowo turun elektabilitasnya karena congor fadli zon surat pemberitahuan tahunan durno "
170,"selamat hari kaini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ? ?"
171,"foto memang bisu ,tpi memiliki banyak ai yang susah diaikan,sma sepei kamu susah diaikan,mau putus atau lanjut ? "
172,wkwk aku sudah mengalaminya setibanya muncul grub wa a.n bani abdi hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja 
173,"ayah pres badar dan nuqaba paling boekkk ?, dia nih hebat dalam bidang agama, x takut natural killer tegur member sndiri, dan selalu buat lawak hambar yang paling aku ingat sampai sekarang lawak dia kalau orang cukup jom gerak sekarang dia akan gerakan badan dia yang chubby itu ?,"
174,?seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. beliau adalah allah ya rahman tun abdul razak ? ds malaysia memilih hogohundi
175,"haha sialaaan nih sih , ternyata kalau lagi laper, presiden juga mau disikat sama dia ?"
176,"mau menasihati kali supaya tidak ugal ugalan nih rezim, eh tapi ini negeri sudah keburu ancor,nah sekarang saja ekonomi moral marit, kacaoooooo! "
177,"alah silit kebeler,. kenapa dikasianin,., orang makin sayang saya pak,., setelah kasus media sosial gue baru sadar beberapa hal di satu instansi kemarin.,. tar gue ceritain,., duuuhhh,. "
178,"iya, tadi cacat "
179,"tahun 2019 rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan keahlian cebong hanya 1, tukang tipu ! cebong adalah gitu, goblok enggak ketulungan. plonga plongo mengakibatkan optimisme berlebihan 2019 ganti presiden "
180,"aku pernah sempat baca tentang harun yahya ini yang membelot ke kubu yahudi dengan freemason nya,kdg suka tidak percaya, "
181,kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia ikut gus mus
182,
183,"mukidi terlalu percaya diri peanyaan mudah ya, dijawab yang keras , tapi saya meminta dijawab yang keras , siapa nama saya ?"
184,kemarin di hujat sekarang mengharap dasar para bani kampret 
185,"penjelasan saya bukan fitnah, silakan dibantah apollinaris darmawan sebut al alquran kitab sampah"
186,"monyet saja koloe dibilang saudara sama kamu pasti ogah, hidupmu kok begini amat ya, itu hati apa comberan? "
187,body lufra scrub dengan bahan dasar lidah buaya untuk melembabkan kulit amp lebih bercahaya info 087812026394 body mass index 
188,tak punya cacat di masa lalu karena belum bermasa lalu 
189,jangan jangan penganut bumi datar juga? soalnya teori bumi bulat kan dari orang asing yang notabene musuh mereka. 
190,"becak warga binjai hendak disita karena gunakan tenda beuliskan 2019gantipresiden, partai keadilan sejahtera meradang bukti pemerintah panik dan takut? "
191,"lebih baik jokowi mundur,"
192,musyawarah nasional alim ulama ppp di semarang. menghasilkan lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan mendampingi bapak jokowi di 2019 mendatang. romahurmuziy
193,"luar biasa pencerahan nya, saya merasa gagal sebagai anak ekonomi, wkwk"
194,"kafan berasal dari budaya yahudi, kenapa umat islam mengklaim ? "
195,oleh rezim sekarang atas kendali negara cina komunis yang menjadi patron tunggal rezim anti islam jokowi 
196,itu tanda nya mau pilihan kepala daerah dan pemilihan presiden
197,misi 4 membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur nomor tiga jawa barat asyik asyik menang
198,"ketabahan pasangan dan taufik dan puan nurliyana yang wajar dicontohi, jom kita beri sumbangan untuk meringankan beban pasangan ini, come on twitter do your things! badan standarisasi nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif "
